X,Y,gmlid,cod_canton,canton,area,cod_provin,provincia,version,activos,positivos
617305.144997721,945431.804879927,limitecantonal_5k.1,"610",Corredores,623.61,"6",Puntarenas,"20201222","187","5949"
583376.547115243,945941.320294213,limitecantonal_5k.2,"607",Golfito,1753.42,"6",Puntarenas,"20201222","155","4027"
618490.003177374,985227.255875451,limitecantonal_5k.3,"608",Coto Brus,944.24,"6",Puntarenas,"20201222","87","2934"
554581.288139945,978649.864864919,limitecantonal_5k.4,"605",Osa,1932.03,"6",Puntarenas,"20201222","157","3333"
582385.667463055,1007219.53152692,limitecantonal_5k.5,"603",Buenos Aires,2382.94,"6",Puntarenas,"20201222","375","3049"
535820.688180059,1035058.18888121,limitecantonal_5k.6,"119",Pérez Zeledón,1901.08,"1",San José,"20201222","647","12286"
494213.272777757,1041945.82977716,limitecantonal_5k.7,"606",Quepos,557.85,"6",Puntarenas,"20201222","394","4311"
600070.161337554,1048099.24239792,limitecantonal_5k.8,"704",Talamanca,2792.23,"7",Limón,"20201222","135","3444"
465099.301857426,1057292.74476201,limitecantonal_5k.9,"609",Parrita,483.22,"6",Puntarenas,"20201222","105","2181"
495075.758010642,1060098.85515346,limitecantonal_5k.10,"105",Tarrazú,291.27,"1",San José,"20201222","70","956"
509572.860771491,1060092.36091016,limitecantonal_5k.11,"117",Dota,404.44,"1",San José,"20201222","15","320"
432994.350419577,1074344.84690962,limitecantonal_5k.12,"611",Garabito,316.01,"6",Puntarenas,"20201222","733","4086"
492260.555644026,1072064.25546741,limitecantonal_5k.13,"120",León Cortés Castro,121.89,"1",San José,"20201222","44","773"
457537.760661894,1077234.52934348,limitecantonal_5k.14,"104",Puriscal,555.02,"1",San José,"20201222","692","2922"
484908.784113025,1077480.9976278,limitecantonal_5k.15,"106",Aserrí,168.26,"1",San José,"20201222","925","6459"
494983.655375174,1085247.73596437,limitecantonal_5k.16,"103",Desamparados,118.89,"1",San José,"20201222","2124","28055"
474591.098926884,1077075.7920083,limitecantonal_5k.17,"112",Acosta,342.56,"1",San José,"20201222","322","2494"
444408.871197323,1079260.94193476,limitecantonal_5k.18,"116",Turrubares,416.25,"1",San José,"20201222","115","385"
507671.319244103,1077796.17235893,limitecantonal_5k.19,"308",El Guarco,172,"3",Cartago,"20201222","493","5701"
508637.275166646,1085345.58658137,limitecantonal_5k.20,"301",Cartago,278.66,"3",Cartago,"20201222","2098","18765"
