X,Y,gmlid,cod_canton,canton,area,cod_provin,provincia,version,activos,positivos
-82.9344215701827,8.54895074091248,limitecantonal_5k.1,"610",Corredores,623.61,"6",Puntarenas,"20201222","187","5949"
-83.2425914127807,8.55428322309116,limitecantonal_5k.2,"607",Golfito,1753.42,"6",Puntarenas,"20201222","155","4027"
-82.9226282717292,8.90870766697226,limitecantonal_5k.3,"608",Coto Brus,944.24,"6",Puntarenas,"20201222","87","2934"
-83.5037752223542,8.8504633232564,limitecantonal_5k.4,"605",Osa,1932.03,"6",Puntarenas,"20201222","157","3333"
-83.2504742361937,9.10835873977134,limitecantonal_5k.5,"603",Buenos Aires,2382.94,"6",Puntarenas,"20201222","375","3049"
-83.6738725245147,9.36070457042755,limitecantonal_5k.6,"119",Pérez Zeledón,1901.08,"1",San José,"20201222","647","12286"
-84.05269463578,9.42312985802187,limitecantonal_5k.7,"606",Quepos,557.85,"6",Puntarenas,"20201222","394","4311"
-83.0886422747321,9.47758884288007,limitecantonal_5k.8,"704",Talamanca,2792.23,"7",Limón,"20201222","135","3444"
-84.3179362166904,9.56175714166815,limitecantonal_5k.9,"609",Parrita,483.22,"6",Puntarenas,"20201222","105","2181"
-84.044862116984,9.5872727742011,limitecantonal_5k.10,"105",Tarrazú,291.27,"1",San José,"20201222","70","956"
-83.9127868612567,9.58720598407854,limitecantonal_5k.11,"117",Dota,404.44,"1",San José,"20201222","15","320"
-84.6106724163654,9.71554370947788,limitecantonal_5k.12,"611",Garabito,316.01,"6",Puntarenas,"20201222","733","4086"
-84.0705323736578,9.69546019264168,limitecantonal_5k.13,"120",León Cortés Castro,121.89,"1",San José,"20201222","44","773"
-84.3870246289813,9.74199769404666,limitecantonal_5k.14,"104",Puriscal,555.02,"1",San José,"20201222","692","2922"
-84.1375516515523,9.744417963312,limitecantonal_5k.15,"106",Aserrí,168.26,"1",San José,"20201222","925","6459"
-84.0457320300259,9.81466928541637,limitecantonal_5k.16,"103",Desamparados,118.89,"1",San José,"20201222","2124","28055"
-84.2315911344533,9.74070325883451,limitecantonal_5k.17,"112",Acosta,342.56,"1",San José,"20201222","322","2494"
-84.5067134975324,9.76016312313705,limitecantonal_5k.18,"116",Turrubares,416.25,"1",San José,"20201222","115","385"
-83.9300777105385,9.74728832946817,limitecantonal_5k.19,"308",El Guarco,172,"3",Cartago,"20201222","493","5701"
-83.9212571862851,9.81554798364353,limitecantonal_5k.20,"301",Cartago,278.66,"3",Cartago,"20201222","2098","18765"
-85.0200585314308,9.8876260595774,limitecantonal_5k.21,"601",Puntarenas,1840.37,"6",Puntarenas,"20201222","4013","18397"
-83.7653703361171,9.71652033613541,limitecantonal_5k.22,"302",Paraíso,476.99,"3",Cartago,"20201222","118","4646"
-83.7027634746774,9.80674003852237,limitecantonal_5k.23,"304",Jiménez,250.07,"3",Cartago,"20201222","147","913"
-83.5494213069291,9.82181943930151,limitecantonal_5k.24,"305",Turrialba,1589.25,"3",Cartago,"20201222","934","4077"
-84.2699584401668,9.88419052651208,limitecantonal_5k.25,"107",Mora,163.47,"1",San José,"20201222","201","3782"
-83.8658403587179,10.0079920092794,limitecantonal_5k.26,"307",Oreamuno,202.9,"3",Cartago,"20201222","598","5707"
-84.1145265579085,9.88764508153843,limitecantonal_5k.27,"110",Alajuelita,21.47,"1",San José,"20201222","2435","13557"
-83.1529196564309,9.77301112391905,limitecantonal_5k.28,"701",Limón,1769.38,"7",Limón,"20201222","361","12198"
-83.9872397688045,9.91122352656532,limitecantonal_5k.29,"303",La Unión,44.18,"3",Cartago,"20201222","626","12177"
